Bundesland,arbeitslosenquote_2015,arbeitslosenquote_2016,arbeitslosenquote_2017,arbeitslosenquote_2018,arbeitslosenquote_2019,schulabg_ohne_abschluss_2015,schulabg_ohne_abschluss_2016,schulabg_ohne_abschluss_2017,schulabg_ohne_abschluss_2018,schulabg_ohne_abschluss_2019,abiturquote_2015,abiturquote_2016,abiturquote_2017,abiturquote_2018,abiturquote_2019,kinderarmut_2016,kinderarmut_2017,kinderarmut_2018,kinderarmut_2019,betreuungsquote_2015,betreuungsquote_2016,betreuungsquote_2017,betreuungsquote_2018,betreuungsquote_2019,medianeinkommen_2015,medianeinkommen_2016,medianeinkommen_2017,medianeinkommen_2018,medianeinkommen_2019
Schleswig-Holstein,6.5,6.27,6.04,5.48,5.07,7.52,6.62,7.65,8.49,9.18,33.59,45.97,36.99,35.38,36.09,14.76,16.06,15.6,14.91,91.0,91.17,89.21,89.37,88.99,2856.08,2902.39,2971.65,3062.37,3149.2
Hamburg,7.45,7.08,6.83,6.32,6.13,5.47,5.85,5.29,6.39,6.02,55.14,55.59,52.84,52.75,53.87,19.47,19.98,19.65,18.98,89.6,86.9,85.87,87.07,86.56,3487.03,3543.8,3618.8,3717.62,3820.41
Niedersachsen,6.14,6.0,5.76,5.31,5.04,5.06,5.1,5.86,6.28,6.77,32.51,32.74,32.43,32.72,33.78,14.02,15.02,14.68,13.94,92.27,92.0,90.24,90.35,89.2,3046.23,3085.42,3149.12,3243.96,3335.4
Bremen,10.92,10.52,10.23,9.84,9.93,5.96,6.25,8.29,8.47,9.26,39.09,40.49,37.06,37.21,35.93,29.76,31.58,31.5,30.88,87.45,85.78,82.74,85.03,84.1,3304.56,3339.77,3403.82,3489.14,3596.06
Nordrhein-Westfalen,7.98,7.71,7.39,6.77,6.55,5.34,5.32,5.65,6.09,6.03,38.57,39.18,38.55,39.64,39.4,18.14,19.09,18.76,18.17,91.17,91.27,89.35,89.5,88.31,3223.19,3263.16,3336.92,3421.05,3509.19
Hessen,5.47,5.26,5.0,4.59,4.4,4.45,5.4,4.99,5.0,5.21,38.51,35.21,33.34,34.09,32.32,13.9,14.68,14.42,13.68,91.24,91.4,90.41,89.5,88.97,3457.87,3505.35,3585.7,3690.73,3788.91
Rheinland-Pfalz,5.21,5.1,4.83,4.44,4.35,6.13,5.92,6.71,6.84,7.47,33.41,36.79,36.21,35.96,37.19,11.23,12.26,11.83,11.21,94.48,94.92,93.66,92.9,91.42,3155.92,3193.48,3261.1,3347.88,3433.55
Baden-Württemberg,3.84,3.78,3.5,3.17,3.16,4.78,5.15,6.58,6.42,5.9,29.14,29.12,30.04,30.56,29.94,7.91,8.59,8.37,7.98,93.27,93.37,92.19,91.87,91.27,3472.3,3531.45,3614.22,3721.23,3824.39
Bayern,3.62,3.49,3.18,2.9,2.84,4.62,5.06,5.52,5.59,5.42,28.63,28.03,28.75,28.99,28.71,6.54,6.94,6.62,6.14,90.83,90.87,89.68,89.77,89.46,3323.93,3375.07,3459.81,3571.39,3676.05
Saarland,7.17,7.2,6.68,6.11,6.16,4.7,6.98,6.68,7.15,7.27,37.24,34.84,33.77,35.23,34.44,18.63,20.12,19.64,18.9,93.51,93.78,91.12,90.78,89.67,3204.56,3261.01,3334.94,3401.25,3474.86
Berlin,10.66,9.77,8.96,8.14,7.82,9.98,8.36,9.55,9.95,8.94,42.19,46.58,47.62,46.25,44.44,29.2,28.88,27.75,26.31,92.36,92.2,90.37,90.86,89.34,2973.57,3023.77,3125.59,3242.3,3383.33
Brandenburg,8.66,7.99,7.01,6.3,5.77,7.5,7.29,7.35,7.52,7.49,36.15,37.71,42.01,40.79,40.17,15.27,14.51,13.27,11.88,94.41,94.62,92.19,93.0,91.28,2380.79,2439.28,2511.99,2611.99,2728.84
Mecklenburg-Vorpommern,10.4,9.72,8.58,7.9,7.12,8.46,9.44,8.9,8.91,9.25,35.92,35.99,35.97,36.36,35.53,18.85,18.27,16.32,14.39,94.74,95.75,93.75,93.44,94.0,2275.81,2330.74,2410.22,2515.21,2630.54
Sachsen,8.22,7.45,6.65,5.96,5.46,8.27,8.4,8.27,8.71,8.65,32.7,31.85,33.25,33.37,33.2,14.44,14.08,12.74,11.53,93.93,94.92,93.71,93.94,93.33,2376.89,2438.99,2524.24,2636.22,2745.94
Sachsen-Anhalt,10.2,9.55,8.44,7.73,7.15,10.58,9.67,10.18,11.32,11.26,29.84,29.92,30.01,31.04,29.65,20.99,21.16,19.13,17.35,93.3,93.0,91.57,92.33,92.43,2369.23,2425.28,2510.28,2610.83,2720.05
Thüringen,7.39,6.74,6.05,5.5,5.27,7.26,7.53,8.73,9.28,8.94,33.75,34.66,32.97,32.59,32.73,13.92,14.21,12.98,12.0,93.44,95.49,92.89,93.02,95.08,2339.51,2403.05,2492.71,2583.33,2689.95
