region_cluster,einkommenj1,bildung,anz_kind,anz_pers,gesund_org,lebensz_org,high_education,cluster_size
0,36154.62324652778,11.85037037037037,0.2325925925925926,2.3422222222222224,3.2293986636971046,7.272659732540862,0.23185185185185186,1350
1,2713.3481933385615,10.962276214833759,0.07575097953852851,1.9090117544623422,3.0,7.967162872154115,0.10315430520034101,2346
2,8229.399047395815,11.336588167719702,0.5014359563469271,3.7116599655370477,1.852788959171938,8.140796306982113,0.27225732337736935,1741
3,42173.0793902439,11.630243902439025,1.9960975609756098,4.309268292682927,2.3818359375,7.9326171875,0.2048780487804878,1025
4,86186.1636037844,16.270642201834864,2.0807339449541282,4.423853211009174,2.1064220183486237,8.053308823529411,0.9321100917431193,545
5,6767.599925994873,11.265625,0.1981907894736842,2.0460526315789473,4.3012345679012345,3.6932565789473686,0.17434210526315788,1216
6,20735.10550594068,16.693046660567248,1.8755718206770358,4.136322049405306,2.088746569075938,8.01923076923077,1.0,1093
7,36851.064315037074,11.789694427801079,0.18394248052726184,2.1551827441581786,1.816656680647094,8.236177884615385,0.237866986219293,1669
8,10873.10198718612,10.858719646799116,4.337748344370861,7.052980132450331,2.644591611479029,7.3907284768211925,0.17218543046357615,453
9,8665.504526572846,11.115188257817486,0.16592214422463306,2.0721123165283983,2.6481481481481484,5.014677728142948,0.1467772814294831,1567
10,4159.789278143123,17.166075650118202,0.07431629013079667,1.9369797859690845,2.5247465712581993,7.78227245687091,1.0,1692
11,2867.9538659521995,10.893871449925262,0.08594917787742899,1.961136023916293,4.150224215246637,7.440844009042954,0.11285500747384156,1338
12,11439.129225610804,11.056944444444444,2.111111111111111,4.557407407407408,3.401669758812616,5.7877664504170525,0.14537037037037037,1080
13,3886.3763832613354,11.150101936799185,0.0326197757390418,1.736493374108053,1.826197757390418,8.355135411343893,0.15239551478083588,1962
14,7372.301846849597,10.922635135135135,2.289189189189189,4.59527027027027,1.9465855307640298,8.275862068965518,0.11756756756756757,1480
15,59302.665106017455,17.006270903010034,0.18812709030100336,2.17056856187291,2.2652719665271968,7.743933054393305,0.9974916387959866,1196
